pair_id,conflict_type,image_severity_signal,text_severity_signal,resolved_severity,resolver_model,is_conflict,expected_resolution,correct
real:909470884532047874_0,none,none,none,none,"claude (substitute, Gemini quota exhausted)",False,none,True
real:905685100901179392_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:907307308211982336_0,none,none,none,none,"claude (substitute, Gemini quota exhausted)",False,none,True
real:910635961134014464_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:909883607350513664_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:901792272882294786_0,none,none,none,none,"claude (substitute, Gemini quota exhausted)",False,none,True
real:905715102258569216_0,none,none,none,none,"claude (substitute, Gemini quota exhausted)",False,none,True
real:913392166533201920_0,none,none,none,none,"claude (substitute, Gemini quota exhausted)",False,none,True
real:917797763282214913_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:912309406347534336_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:907006307433148417_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:905636901306163200_2,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:904343320243163137_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:930883171503177728_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
real:906964197053014016_0,none,none,none,none,"claude (substitute, Gemini quota exhausted)",False,none,True
real:910549146360311808_0,none,none,none,none,"claude (substitute, Gemini quota exhausted)",False,none,True
real:910783579751419904_0,none,severe,severe,severe,"claude (substitute, Gemini quota exhausted)",False,severe,True
